"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Argentina","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Bahamas","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Barbados","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Grenada","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Guatemala","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Guyana","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Haiti","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Honduras","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Uruguay","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Venezuela (Bolivarian Republic of)","No data","","","","","","Not available"
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Eastern Mediterranean","Afghanistan","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Eastern Mediterranean","Bahrain","No data","","","","","","Not available"
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Eastern Mediterranean","Somalia","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Canada","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Eastern Mediterranean","Syrian Arab Republic","No data","","","","","","Not available"
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Eastern Mediterranean","Tunisia","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Europe","Estonia","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Europe","France","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Europe","Germany","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Europe","Finland","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Europe","Luxembourg","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Europe","Malta","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","Mexico","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Europe","Monaco","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Europe","Spain","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Eastern Mediterranean","Sudan","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Europe","Switzerland","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Europe","Tajikistan","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","South-East Asia","Sri Lanka","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","South-East Asia","Thailand","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","South-East Asia","Timor-Leste","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Americas","United States of America","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Western Pacific","Nauru","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Western Pacific","New Zealand","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Western Pacific","Niue","No data","","","","","","Not available"
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Western Pacific","Palau","No data","","","","","","Not available"
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2021","Western Pacific","Papua New Guinea","No data","","","","","","Not available"
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","Botswana","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","Burkina Faso","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","Burundi","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","Cameroon","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","Ghana","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","Guinea","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","Guinea-Bissau","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Western Pacific","Australia","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","Senegal","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","Seychelles","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","Sierra Leone","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","South Africa","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Americas","Brazil","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Austria","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Americas","Chile","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Americas","Colombia","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Americas","Nicaragua","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Americas","Panama","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Americas","Paraguay","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Americas","Peru","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Eastern Mediterranean","Iraq","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Eastern Mediterranean","Jordan","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Eastern Mediterranean","Kuwait","No data","","","","","","Not available"
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Eastern Mediterranean","Lebanon","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Albania","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Andorra","No data","","","","","","Not available"
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Armenia","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Croatia","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Azerbaijan","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Hungary","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Ireland","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Africa","Kenya","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Iceland","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Norway","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Poland","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Portugal","No data","","","","","","Not available"
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Republic of Moldova","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Sweden","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","Uzbekistan","No data","","","","","","Not available"
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","South-East Asia","Bangladesh","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Europe","United Kingdom of Great Britain and Northern Ireland","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Western Pacific","China","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Western Pacific","Cook Islands","No data","","","","","","Not available"
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Western Pacific","Fiji","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Western Pacific","Japan","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Western Pacific","Samoa","Yes, but not publically available","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Western Pacific","Singapore","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Western Pacific","Solomon Islands","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2021","Western Pacific","Tonga","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Comoros","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Congo","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Cote d'Ivoire","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Democratic Republic of the Congo","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Madagascar","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Malawi","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Mali","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Mauritania","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Mauritius","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Uganda","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","United Republic of Tanzania","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Zambia","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Africa","Zimbabwe","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Americas","Dominican Republic","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Belgium","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Americas","El Salvador","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Americas","Grenada","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Americas","Suriname","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Americas","Trinidad and Tobago","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Bulgaria","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Americas","Uruguay","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Eastern Mediterranean","Oman","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Eastern Mediterranean","Pakistan","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Eastern Mediterranean","Qatar","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Eastern Mediterranean","Saudi Arabia","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Bosnia and Herzegovina","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Czechia","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Denmark","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Americas","Ecuador","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Kazakhstan","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Kyrgyzstan","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Lithuania","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Luxembourg","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","San Marino","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Serbia","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Slovakia","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Slovenia","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Europe","Spain","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","South-East Asia","Indonesia","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","South-East Asia","Maldives","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","South-East Asia","Myanmar","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","South-East Asia","Nepal","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Western Pacific","Marshall Islands","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Western Pacific","Micronesia (Federated States of)","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2021","Western Pacific","Mongolia","No data","","","","","","Not available"
"Procurement of medical devices carried out at the national level","Published","2021","Western Pacific","Nauru","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Africa","Democratic Republic of the Congo","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Africa","Equatorial Guinea","No data","","","","","","Not available"
"Health technology (medical device) national policy","Published","2021","Africa","Eritrea","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Africa","Eswatini","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Africa","Mauritania","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Africa","Mauritius","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Africa","Mozambique","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Africa","Namibia","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Africa","Niger","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Africa","Zimbabwe","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Americas","Antigua and Barbuda","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Americas","Argentina","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Americas","Bahamas","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Americas","Grenada","Yes, but it is not part of the National Health Program","","","","","",""
"Health technology (medical device) national policy","Published","2021","Americas","Guatemala","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Americas","Guyana","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Americas","Haiti","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Europe","Bulgaria","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Americas","Uruguay","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Americas","Venezuela (Bolivarian Republic of)","No data","","","","","","Not available"
"Health technology (medical device) national policy","Published","2021","Eastern Mediterranean","Afghanistan","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Eastern Mediterranean","Bahrain","No data","","","","","","Not available"
"Health technology (medical device) national policy","Published","2021","Eastern Mediterranean","Saudi Arabia","Yes, but it is not part of the National Health Program","","","","","",""
"Health technology (medical device) national policy","Published","2021","Eastern Mediterranean","Somalia","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Americas","Canada","Yes, but it is not part of the National Health Program","","","","","",""
"Health technology (medical device) national policy","Published","2021","Eastern Mediterranean","Syrian Arab Republic","No data","","","","","","Not available"
"Health technology (medical device) national policy","Published","2021","Americas","Ecuador","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Europe","Estonia","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Europe","France","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Europe","Germany","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Europe","Luxembourg","Yes, but it is not part of the National Health Program","","","","","",""
"Health technology (medical device) national policy","Published","2021","Europe","Malta","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Americas","Mexico","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Europe","Monaco","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Europe","Slovenia","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Europe","Spain","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","Eastern Mediterranean","Sudan","Yes, but it is not part of the National Health Program","","","","","",""
"Health technology (medical device) national policy","Published","2021","Europe","Switzerland","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Europe","Tajikistan","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","South-East Asia","Nepal","Yes, and it is part of the National Health Program/Plan or Policy","","","","","",""
"Health technology (medical device) national policy","Published","2021","South-East Asia","Sri Lanka","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","South-East Asia","Thailand","Yes, but it is not part of the National Health Program","","","","","",""
"Health technology (medical device) national policy","Published","2021","South-East Asia","Timor-Leste","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Western Pacific","Nauru","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Western Pacific","New Zealand","No","","","","","",""
"Health technology (medical device) national policy","Published","2021","Western Pacific","Niue","No data","","","","","","Not available"
"Health technology (medical device) national policy","Published","2021","Western Pacific","Palau","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Benin","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Botswana","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Burkina Faso","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Burundi","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Cameroon","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Gambia","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Ghana","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Guinea","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Guinea-Bissau","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Sao Tome and Principe","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Senegal","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Seychelles","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Sierra Leone","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Americas","Brazil","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Austria","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Americas","Chile","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Americas","Colombia","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","South-East Asia","Bhutan","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Americas","Nicaragua","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Americas","Panama","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Americas","Paraguay","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Americas","Peru","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Eastern Mediterranean","Iran (Islamic Republic of)","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Eastern Mediterranean","Iraq","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Eastern Mediterranean","Jordan","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Eastern Mediterranean","Kuwait","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Albania","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Andorra","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Armenia","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Croatia","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Georgia","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Hungary","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Ireland","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Africa","Kenya","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Iceland","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","North Macedonia","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Norway","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Poland","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Portugal","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Ukraine","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Sweden","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Europe","Uzbekistan","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","South-East Asia","Bangladesh","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Western Pacific","China","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Western Pacific","Cook Islands","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Western Pacific","Fiji","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Western Pacific","Japan","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Western Pacific","Republic of Korea","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Western Pacific","Samoa","Yes","","","","","",""
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Western Pacific","Singapore","No data","","","","","","Not available"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2021","Western Pacific","Solomon Islands","No data","","","","","","Not available"
"Total density per million population: Magnetic Resonance Imaging","Published","2021","South-East Asia","Bangladesh","0.49","0.48576","","","","","WHO MD Survey 2021"
"Total density per million population: Magnetic Resonance Imaging","Published","2021","Africa","Cabo Verde","5.40","5.39568","","","","","WHO MD Survey 2021"
"Total density per million population: Magnetic Resonance Imaging","Published","2017-2019","Americas","Chile","11.82","11.82256","","","","","OECD 2017-19"
"Total density per million population: Magnetic Resonance Imaging","Published","2017-2019","Americas","Colombia","0.24","0.23584","","","","","OECD 2017-19"
"Total density per million population: Magnetic Resonance Imaging","Published","2021","Africa","Comoros","0","0.00000","","","","","WHO MD Survey 2021"
"Total density per million population: Magnetic Resonance Imaging","Published","2017-2019","Europe","Estonia","13.56","13.56443","","","","","OECD 2017-19"
"Total density per million population: Computed tomography units","Published","2017-2019","Europe","Germany","34.66","34.66056","","","","","OECD 2017-19"
"Total density per million population: Computed tomography units","Published","2017-2019","Europe","Hungary","9.52","9.52381","","","","","OECD 2017-19"
"Total density per million population: Computed tomography units","Published","2021","Eastern Mediterranean","Jordan","7.84","7.84083","","","","","WHO MD Survey 2021"
"Total density per million population: Computed tomography units","Published","2021","Europe","Netherlands (Kingdom of the)","11.96","11.96382","","","","","WHO MD Survey 2021"
"Total density per million population: Positron Emission tomography","Published","2021","Africa","Senegal","0","0.00000","","","","","WHO MD Survey 2021"
"Total density per million population: Positron Emission tomography","Published","2021","Africa","South Africa","0.05","0.05058","","","","","WHO MD Survey 2021"
"Total density per million population: Positron Emission tomography","Published","2017-2019","Europe","Turkiye","1.55","1.55326","","","","","OECD 2017-19"
"Total density per million population: Gamma camera or Nuclear medicine","Published","2017-2019","Europe","Austria","10.33","10.32645","","","","","OECD 2017-19"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2021","Europe","Finland","214.37","214.37464","","","","","WHO MD Survey 2021"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2017-2019","Europe","Ireland","149.96","149.96205","","","","","OECD 2017-19"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2021","Europe","Kyrgyzstan","11.72","11.71916","","","","","WHO MD Survey 2021"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2021","Europe","Luxembourg","94.39","94.38669","","","","","WHO MD Survey 2021"
"Total density per million females aged from 50 to 69 years old: Mammography units","Published","2017-2019","Europe","Slovakia","135.44","135.43547","","","","","OECD 2017-19"
"Total density per million population: Radiotherapy units","Published","2017-2021","Europe","Denmark","12.26","12.25829","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","Americas","Dominican Republic","2.49","2.48894","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","Europe","France","9.18","9.17670","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","Africa","Ghana","0.26","0.25746","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","Africa","South Africa","2.28","2.27621","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","South-East Asia","Sri Lanka","1.07","1.07411","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","Europe","Ukraine","4.53","4.52737","","","","","IAEA 2017-21"
"Total density per million population: Radiotherapy units","Published","2017-2021","Africa","United Republic of Tanzania","0.15","0.15067","","","","","IAEA 2017-21"
"Total density per million population: Computed tomography units","Published","2017-2019","Europe","Belgium","23.47","23.46851","","","","","OECD 2017-19"
"Total density per million population: Computed tomography units","Published","2021","Africa","Chad","0.18","0.18264","","","","","WHO MD Survey 2021"
"Total density per million population: Computed tomography units","Published","2017-2019","Americas","Chile","23.33","23.33124","","","","","OECD 2017-19"
"Total density per million population: Computed tomography units","Published","2021","Europe","Kyrgyzstan","1.99","1.99264","","","","","WHO MD Survey 2021"
"Total density per million population: Positron Emission tomography","Published","2021","South-East Asia","Myanmar","0.04","0.03676","","","","","WHO MD Survey 2021"
"Total density per million population: Positron Emission tomography","Published","2017-2019","Europe","Poland","0.87","0.87193","","","","","OECD 2017-19"
"Total density per million population: Positron Emission tomography","Published","2017-2019","Europe","Slovakia","1.47","1.46520","","","","","OECD 2017-19"
"Total density per million population: Positron Emission tomography","Published","2021","Americas","Trinidad and Tobago","0.71","0.71480","","","","","WHO MD Survey 2021"
