"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","Colombia","Male","0.33 [0.22–0.51]","0.33000","0.22000","0.51000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","Dominican Republic","Male","0.39 [0.23–0.56]","0.39000","0.23000","0.56000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","Ecuador","Male","0.18 [0.15–0.23]","0.18000","0.15000","0.23000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Eastern Mediterranean","Egypt","Male","0.04 [0.03–0.04]","0.04000","0.03000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Europe","Greece","Male","0.11 [0.11–0.12]","0.11000","0.11000","0.12000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","Grenada","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","Guatemala","Male","0.07 [0.05–0.09]","0.07000","0.05000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Africa","Guinea","Male","0.64 [0.52–0.8]","0.64000","0.52000","0.80000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","Jamaica","Male","0.54 [0.44–0.66]","0.54000","0.44000","0.66000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Eastern Mediterranean","Jordan","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Europe","Kazakhstan","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Africa","Malawi","Male","2.27 [2.06–2.62]","2.27000","2.06000","2.62000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Africa","Namibia","Male","3.24 [2.79–4.13]","3.24000","2.79000","4.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Western Pacific","Nauru","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Europe","Netherlands (Kingdom of the)","Male","0.07 [0.06–0.07]","0.07000","0.06000","0.07000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Western Pacific","Philippines","Male","0.18 [0.15–0.21]","0.18000","0.15000","0.21000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Eastern Mediterranean","Saudi Arabia","Male","0.01 [0.01–0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Africa","Senegal","Male","0.12 [0.09–0.16]","0.12000","0.09000","0.16000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Europe","Serbia","Male","0.04 [0.03–0.05]","0.04000","0.03000","0.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Africa","Seychelles","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Europe","Switzerland","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Europe","Tajikistan","Male","0.15 [0.14–0.16]","0.15000","0.14000","0.16000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","South-East Asia","Thailand","Male","0.28 [0.25–0.31]","0.28000","0.25000","0.31000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Americas","United States of America","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Western Pacific","Vanuatu","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Western Pacific","Australia","Male","0.09 [0.08–0.09]","0.09000","0.08000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Azerbaijan","Male","0.08 [0.07–0.1]","0.08000","0.07000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Americas","Bahamas","Male","0.36 [0.25–0.46]","0.36000","0.25000","0.46000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Bulgaria","Male","0.05 [0.04–0.06]","0.05000","0.04000","0.06000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Africa","Burundi","Male","0.3 [0.22–0.4]","0.30000","0.22000","0.40000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Africa","Cote d'Ivoire","Male","0.59 [0.43–0.79]","0.59000","0.43000","0.79000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Croatia","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Americas","Cuba","Male","0.33 [0.25–0.38]","0.33000","0.25000","0.38000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Africa","Ethiopia","Male","0.18 [0.09–0.41]","0.18000","0.09000","0.41000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Western Pacific","Fiji","Male","0.14 [0.09–0.31]","0.14000","0.09000","0.31000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Americas","Haiti","Male","0.74 [0.63–0.96]","0.74000","0.63000","0.96000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Hungary","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Iceland","Male","0.06 [0.04–0.07]","0.06000","0.04000","0.07000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Eastern Mediterranean","Kuwait","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Western Pacific","Lao People's Democratic Republic","Male","0.2 [0.17–0.22]","0.20000","0.17000","0.22000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Latvia","Male","0.35 [0.3–0.4]","0.35000","0.30000","0.40000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Africa","Mauritania","Male","0.12 [0.07–0.18]","0.12000","0.07000","0.18000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Americas","Mexico","Male","0.26 [0.22–0.29]","0.26000","0.22000","0.29000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Western Pacific","Micronesia (Federated States of)","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Africa","Nigeria","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Western Pacific","Niue","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","North Macedonia","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Norway","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Romania","Male","0.05 [0.04–0.07]","0.05000","0.04000","0.07000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Europe","Russian Federation","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Western Pacific","Solomon Islands","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Eastern Mediterranean","Somalia","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Americas","Trinidad and Tobago","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Eastern Mediterranean","Tunisia","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Eastern Mediterranean","Yemen","Male","0.03 [0.03–0.04]","0.03000","0.03000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Eastern Mediterranean","Afghanistan","Male","0.04 [0.02–0.16]","0.04000","0.02000","0.16000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","Barbados","Male","0.42 [0.31–0.53]","0.42000","0.31000","0.53000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Belarus","Male","0.28 [0.22–0.37]","0.28000","0.22000","0.37000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Belgium","Male","0.08 [0.06–0.1]","0.08000","0.06000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","Belize","Male","0.62 [0.54–0.69]","0.62000","0.54000","0.69000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","Canada","Male","0.08 [0.05–0.1]","0.08000","0.05000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Africa","Central African Republic","Male","1.77 [1.3–2.42]","1.77000","1.30000","2.42000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","Chile","Male","0.37 [0.3–0.45]","0.37000","0.30000","0.45000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Denmark","Male","0.06 [0.04–0.08]","0.06000","0.04000","0.08000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Eastern Mediterranean","Djibouti","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","Dominican Republic","Male","0.44 [0.28–0.59]","0.44000","0.28000","0.59000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Germany","Male","0.05 [0.04–0.07]","0.05000","0.04000","0.07000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Ireland","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Israel","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Eastern Mediterranean","Libya","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Lithuania","Male","0.15 [0.13–0.17]","0.15000","0.13000","0.17000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Luxembourg","Male","0.12 [0.09–0.16]","0.12000","0.09000","0.16000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Africa","Madagascar","Male","0.13 [0.11–0.16]","0.13000","0.11000","0.16000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Montenegro","Male","0.07 [0.05–0.1]","0.07000","0.05000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Eastern Mediterranean","Morocco","Male","0.04 [0.03–0.05]","0.04000","0.03000","0.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","South-East Asia","Myanmar","Male","0.38 [0.34–0.42]","0.38000","0.34000","0.42000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Africa","Namibia","Male","3.91 [3.41–4.81]","3.91000","3.41000","4.81000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","Panama","Male","0.52 [0.44–0.59]","0.52000","0.44000","0.59000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","Paraguay","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Western Pacific","Samoa","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","San Marino","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Eastern Mediterranean","Sudan","Male","0.08 [0.07–0.1]","0.08000","0.07000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Americas","Suriname","Male","0.8 [0.57–1.08]","0.80000","0.57000","1.08000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Africa","Uganda","Male","1.89 [1.67–2.28]","1.89000","1.67000","2.28000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","Ukraine","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Eastern Mediterranean","United Arab Emirates","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Africa","United Republic of Tanzania","Male","1.66 [1.44–2.02]","1.66000","1.44000","2.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Angola","Male","0.95 [0.79–1.19]","0.95000","0.79000","1.19000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Americas","Argentina","Male","0.17 [0.14–0.19]","0.17000","0.14000","0.19000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Armenia","Male","0.23 [0.18–0.3]","0.23000","0.18000","0.30000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Bosnia and Herzegovina","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Americas","Brazil","Male","0.33 [0.31–0.35]","0.33000","0.31000","0.35000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Western Pacific","Brunei Darussalam","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Comoros","Male","0.01 [<0.01–0.03]","0.01000","0.01000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Congo","Male","1.62 [1.28–2.11]","1.62000","1.28000","2.11000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Cote d'Ivoire","Male","0.8 [0.63–1.04]","0.80000","0.63000","1.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Americas","El Salvador","Male","0.29 [0.23–0.36]","0.29000","0.23000","0.36000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Equatorial Guinea","Male","3.54 [2.62–4.75]","3.54000","2.62000","4.75000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Estonia","Male","0.28 [0.2–0.34]","0.28000","0.20000","0.34000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Guinea","Male","0.66 [0.51–0.83]","0.66000","0.51000","0.83000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Guinea-Bissau","Male","1.24 [1–1.61]","1.24000","1.00000","1.61000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Americas","Guyana","Male","0.68 [0.48–0.88]","0.68000","0.48000","0.88000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Eastern Mediterranean","Jordan","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Kenya","Male","1.2 [0.74–1.95]","1.20000","0.74000","1.95000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Western Pacific","Kiribati","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","South-East Asia","Maldives","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Malta","Male","0.12 [0.08–0.17]","0.12000","0.08000","0.17000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Western Pacific","Marshall Islands","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Netherlands (Kingdom of the)","Male","0.09 [0.08–0.09]","0.09000","0.08000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Americas","Nicaragua","Male","0.16 [0.12–0.21]","0.16000","0.12000","0.21000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Niger","Male","0.08 [0.06–0.09]","0.08000","0.06000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Portugal","Male","0.22 [0.16–0.25]","0.22000","0.16000","0.25000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Republic of Moldova","Male","0.57 [0.42–1.04]","0.57000","0.42000","1.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","Sierra Leone","Male","0.71 [0.57–0.9]","0.71000","0.57000","0.90000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Western Pacific","Singapore","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","Slovakia","Male","0.02 [0.01–0.02]","0.02000","0.01000","0.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","United Kingdom of Great Britain and Northern Ireland","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","South-East Asia","Timor-Leste","Male","0.1 [0.08–0.13]","0.10000","0.08000","0.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Americas","Venezuela (Bolivarian Republic of)","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Western Pacific","Viet Nam","Male","0.19 [0.17–0.22]","0.19000","0.17000","0.22000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Azerbaijan","Male","0.1 [0.08–0.12]","0.10000","0.08000","0.12000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Eastern Mediterranean","Bahrain","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","South-East Asia","Bangladesh","Male","<0.01 [<0.01–0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Burundi","Male","0.43 [0.34–0.56]","0.43000","0.34000","0.56000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Western Pacific","Cambodia","Male","0.13 [0.12–0.14]","0.13000","0.12000","0.14000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Cameroon","Male","1.2 [1.06–1.42]","1.20000","1.06000","1.42000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Cyprus","Male","0.1 [0.09–0.11]","0.10000","0.09000","0.11000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Czechia","Male","0.03 [0.02–0.04]","0.03000","0.02000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Democratic Republic of the Congo","Male","0.39 [0.3–0.5]","0.39000","0.30000","0.50000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Finland","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","France","Male","0.15 [0.11–0.2]","0.15000","0.11000","0.20000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Gabon","Male","1.06 [0.76–1.46]","1.06000","0.76000","1.46000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Gambia","Male","0.98 [0.68–1.32]","0.98000","0.68000","1.32000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","South-East Asia","India","Male","0 [0–0]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","South-East Asia","Indonesia","Male","0.24 [0.22–0.27]","0.24000","0.22000","0.27000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Eastern Mediterranean","Lebanon","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Lesotho","Male","9.4 [8.06–11.93]","9.40000","8.06000","11.93000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Western Pacific","Mongolia","Male","0.03 [0.03–0.03]","0.03000","0.03000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","North Macedonia","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Norway","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Eastern Mediterranean","Oman","Male","0.04 [0.04–0.05]","0.04000","0.04000","0.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Eastern Mediterranean","Pakistan","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Rwanda","Male","0.84 [0.76–1.09]","0.84000","0.76000","1.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Americas","Saint Kitts and Nevis","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Americas","Saint Lucia","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Americas","Saint Vincent and the Grenadines","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","South Africa","Male","6.5 [4.42–9.68]","6.50000","4.42000","9.68000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","South Sudan","Male","1.15 [0.88–1.52]","1.15000","0.88000","1.52000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","South-East Asia","Sri Lanka","Male","0.02 [0.02–0.02]","0.02000","0.02000","0.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Turkiye","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","Turkmenistan","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Africa","Uganda","Male","2.39 [2.16–2.89]","2.39000","2.16000","2.89000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Algeria","Male","0.04 [0.04–0.04]","0.04000","0.04000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","Belize","Male","0.7 [0.61–0.78]","0.70000","0.61000","0.78000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Benin","Male","0.46 [0.35–0.58]","0.46000","0.35000","0.58000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","South-East Asia","Bhutan","Male","0.13 [0.1–0.17]","0.13000","0.10000","0.17000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","Chile","Male","0.3 [0.25–0.36]","0.30000","0.25000","0.36000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","Colombia","Male","0.37 [0.28–0.49]","0.37000","0.28000","0.49000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Comoros","Male","0.01 [<0.01–0.03]","0.01000","0.01000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","Dominica","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","Dominican Republic","Male","0.54 [0.39–0.68]","0.54000","0.39000","0.68000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Eastern Mediterranean","Egypt","Male","0.02 [0.01–0.02]","0.02000","0.01000","0.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","El Salvador","Male","0.34 [0.27–0.42]","0.34000","0.27000","0.42000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Ghana","Male","0.76 [0.61–0.95]","0.76000","0.61000","0.95000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Greece","Male","0.16 [0.15–0.16]","0.16000","0.15000","0.16000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Italy","Male","0.12 [0.09–0.15]","0.12000","0.09000","0.15000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","Jamaica","Male","0.65 [0.55–0.75]","0.65000","0.55000","0.75000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Malawi","Male","3.68 [3.25–4.29]","3.68000","3.25000","4.29000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","South-East Asia","Maldives","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","South-East Asia","Myanmar","Male","0.4 [0.35–0.45]","0.40000","0.35000","0.45000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Namibia","Male","4.75 [4.2–5.81]","4.75000","4.20000","5.81000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Western Pacific","Nauru","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","South-East Asia","Nepal","Male","0.08 [0.07–0.09]","0.08000","0.07000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","Paraguay","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Western Pacific","Philippines","Male","0.09 [0.08–0.1]","0.09000","0.08000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Poland","Male","0.03 [0.03–0.04]","0.03000","0.03000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Eastern Mediterranean","Saudi Arabia","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Serbia","Male","0.03 [0.02–0.04]","0.03000","0.02000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","Seychelles","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Sweden","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Switzerland","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","South-East Asia","Thailand","Male","0.32 [0.29–0.36]","0.32000","0.29000","0.36000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","United Republic of Tanzania","Male","2.02 [1.76–2.39]","2.02000","1.76000","2.39000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Americas","United States of America","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","Uzbekistan","Male","0.18 [0.16–0.19]","0.18000","0.16000","0.19000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Western Pacific","Australia","Male","0.08 [0.08–0.09]","0.08000","0.08000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Austria","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Bulgaria","Male","0.04 [0.03–0.05]","0.04000","0.03000","0.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Africa","Burkina Faso","Male","0.4 [0.31–0.5]","0.40000","0.31000","0.50000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Americas","Costa Rica","Male","0.33 [0.27–0.37]","0.33000","0.27000","0.37000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Croatia","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Americas","Cuba","Male","0.33 [0.27–0.39]","0.33000","0.27000","0.39000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Estonia","Male","0.39 [0.3–0.46]","0.39000","0.30000","0.46000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Africa","Ethiopia","Male","0.38 [0.18–0.84]","0.38000","0.18000","0.84000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Western Pacific","Fiji","Male","0.09 [0.02–0.17]","0.09000","0.02000","0.17000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Americas","Haiti","Male","0.82 [0.69–1.08]","0.82000","0.69000","1.08000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Iceland","Male","0.05 [0.04–0.06]","0.05000","0.04000","0.06000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Eastern Mediterranean","Kuwait","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Kyrgyzstan","Male","0.16 [0.15–0.17]","0.16000","0.15000","0.17000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Western Pacific","Lao People's Democratic Republic","Male","0.2 [0.18–0.22]","0.20000","0.18000","0.22000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Latvia","Male","0.28 [0.25–0.32]","0.28000","0.25000","0.32000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Africa","Mauritania","Male","0.19 [0.14–0.25]","0.19000","0.14000","0.25000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Africa","Mauritius","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Western Pacific","Niue","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Romania","Male","0.05 [0.04–0.06]","0.05000","0.04000","0.06000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Russian Federation","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Europe","Slovakia","Male","0.01 [<0.01–0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Eastern Mediterranean","Somalia","Male","No data","","","","","",""
